host,endpoint,confidence,auth,oauth_confirmed,http_status,server_name,server_version,protocol_version,capabilities,authorization_endpoint,token_endpoint,registration_endpoint,dynamic_client_registration,scopes,issuer,prm_url,www_authenticate,discovery_source,platform_auth
0523.tw,https://0523.tw/mcp/public,A_verified_mcp,oauth,True,200,0523_public,1.1.0,2025-06-18,"prompts,resources,tools",https://0523.tw/oauth/authorize,https://0523.tw/oauth/token,https://0523.tw/oauth/register,True,mcp:use,https://0523.tw,https://0523.tw/.well-known/oauth-protected-resource,,mcp_registry,
aaaa-nexus.atomadictech.workers.dev,https://aaaa-nexus.atomadictech.workers.dev/mcp,A_verified_mcp,oauth,True,200,aaaa-nexus,0.5.1,2025-11-25,"prompts,resources,tools",,,,False,"api:read,api:write",,https://aaaa-nexus.atomadictech.workers.dev/.well-known/oauth-protected-resource,,mcp_registry,
ably.usefulapi.io,https://ably.usefulapi.io/mcp,A_verified_mcp,oauth,True,200,ably-mcp,1.0.1,2025-06-18,tools,https://ably.usefulapi.io/authorize,https://ably.usefulapi.io/token,https://ably.usefulapi.io/register,True,"read,write",https://ably.usefulapi.io,https://ably.usefulapi.io/.well-known/oauth-protected-resource/mcp,,mcp_registry,
accounts.login.idm.telekom.com,https://accounts.login.idm.telekom.com/api/mcp,A_verified_mcp,oauth,True,401,,,,,https://accounts.login.idm.telekom.com/oauth2/auth,https://accounts.login.idm.telekom.com/oauth2/tokens,,False,"openid,profile,email,address,phone,offline_access",https://accounts.login.idm.telekom.com,,"Bearer realm=""SAM3 API""",umbrella_majestic_apex,
acuity-scheduling.usefulapi.io,https://acuity-scheduling.usefulapi.io/mcp,A_verified_mcp,oauth,True,200,acuity-scheduling-mcp,1.0.0,2025-06-18,tools,https://acuity-scheduling.usefulapi.io/authorize,https://acuity-scheduling.usefulapi.io/token,https://acuity-scheduling.usefulapi.io/register,True,"read,write",https://acuity-scheduling.usefulapi.io,https://acuity-scheduling.usefulapi.io/.well-known/oauth-protected-resource/mcp,,mcp_registry,
admin.menufresh.jp,https://admin.menufresh.jp/api/mcp,A_verified_mcp,oauth,True,401,,,,,https://kazxyawtjstxxtppdtug.supabase.co/auth/v1/oauth/authorize,https://kazxyawtjstxxtppdtug.supabase.co/auth/v1/oauth/token,https://kazxyawtjstxxtppdtug.supabase.co/auth/v1/oauth/clients/register,True,"openid,profile,email,phone",https://kazxyawtjstxxtppdtug.supabase.co/auth/v1,https://admin.menufresh.jp/.well-known/oauth-protected-resource,,mcp_registry,
agent-broker-edge.basil-agent.workers.dev,https://agent-broker-edge.basil-agent.workers.dev/mcp,A_verified_mcp,oauth,True,200,smb-broker,0.1.0,2024-11-05,"logging,prompts,resources,tools",,,,False,,https://agent-broker-edge.basil-agent.workers.dev,https://agent-broker-edge.basil-agent.workers.dev/.well-known/oauth-protected-resource,,mcp_registry,
agent.wingmanprotocol.com,https://agent.wingmanprotocol.com/mcp,A_verified_mcp,oauth,True,200,com.wingmanprotocol.agent/gateway,1.6.0,2025-06-18,tools,,,,False,"mcp:read,mcp:write,mcp:tools",,https://agent.wingmanprotocol.com/.well-known/oauth-protected-resource/mcp,,mcp_registry,
agoclnqfyinwjxdmjnns.supabase.co,https://agoclnqfyinwjxdmjnns.supabase.co/functions/v1/mcp,A_verified_mcp,oauth,True,401,1325.AI,,,,https://agoclnqfyinwjxdmjnns.supabase.co/auth/v1/oauth/authorize,https://agoclnqfyinwjxdmjnns.supabase.co/auth/v1/oauth/token,https://agoclnqfyinwjxdmjnns.supabase.co/auth/v1/oauth/clients/register,True,"openid,profile,email,phone",https://agoclnqfyinwjxdmjnns.supabase.co/auth/v1,https://agoclnqfyinwjxdmjnns.supabase.co/functions/v1/mcp/.well-known/oauth-protected-resource,"Bearer realm=""mcp"", resource_metadata=""https://agoclnqfyinwjxdmjnns.supabase.co/functions/v1/mcp/.well-known/oauth-protected-resource""",mcp_registry,
ai-videos.visma.net,https://ai-videos.visma.net/api/mcp,A_verified_mcp,oauth,True,401,Visma AI Conference MCP,,,,,,,False,mcp:user,,https://ai-videos.visma.net/.well-known/oauth-protected-resource/api/mcp,"Bearer resource_metadata=""https://ai-videos.visma.net/.well-known/oauth-protected-resource/api/mcp""",umbrella_majestic_apex,
air-quality-mcp.mcpize.run,https://air-quality-mcp.mcpize.run/mcp,A_verified_mcp,oauth,True,200,Real-Time Air Quality Insights,,,,https://air-quality-mcp.mcpize.run/oauth/authorize?server_id=8b6ea9c7-ce69-41b3-9786-289af7b6bb70,https://air-quality-mcp.mcpize.run/oauth/token,https://air-quality-mcp.mcpize.run/oauth/register,True,"mcp:tools,mcp:resources,mcp:prompts",https://air-quality-mcp.mcpize.run,https://air-quality-mcp.mcpize.run/.well-known/oauth-protected-resource,,mcp_registry,
alpha.api.trycaesar.com,https://alpha.api.trycaesar.com/mcp?profile=web-search,A_verified_mcp,oauth,True,401,Caesar Search MCP,,,,https://ui.auth.trycaesar.com/oauth2/authorize,https://ui.auth.trycaesar.com/oauth2/token,https://ui.auth.trycaesar.com/oauth2/register,True,"search:read,document:read,feedback:write",https://ui.auth.trycaesar.com,https://mcp.trycaesar.com/.well-known/oauth-protected-resource/mcp,"Bearer resource_metadata=""https://mcp.trycaesar.com/.well-known/oauth-protected-resource/mcp""",mcp_registry,
amberflo.usefulapi.io,https://amberflo.usefulapi.io/mcp,A_verified_mcp,oauth,True,200,amberflo-mcp,1.0.1,2025-06-18,tools,,,,False,"read,write",,https://amberflo.usefulapi.io/.well-known/oauth-protected-resource/mcp,,mcp_registry,
analytics.churnzero.net,https://analytics.churnzero.net/mcp,A_verified_mcp,oauth,True,401,,,,,https://app.churnzero.net/oauth2/authorize,https://app.churnzero.net/oauth2/token,https://app.churnzero.net/oauth2/register,True,"mcp,offline_access",https://app.churnzero.net,https://app.churnzero.net/.well-known/oauth-protected-resource,"Bearer resource_metadata=""https://app.churnzero.net/.well-known/oauth-protected-resource""",umbrella_majestic_apex,
anamneseai.app,https://anamneseai.app/api/mcp,A_verified_mcp,oauth,True,401,,,,,https://vatfmlnozncncxepjykl.supabase.co/auth/v1/oauth/authorize,https://vatfmlnozncncxepjykl.supabase.co/auth/v1/oauth/token,https://vatfmlnozncncxepjykl.supabase.co/auth/v1/oauth/clients/register,True,"openid,profile,email,phone",https://vatfmlnozncncxepjykl.supabase.co/auth/v1,https://anamneseai.app/.well-known/oauth-protected-resource/api/mcp,,mcp_registry,
anchorr-mcp.mgthompo.workers.dev,https://anchorr-mcp.mgthompo.workers.dev/mcp,A_verified_mcp,oauth,True,401,,,,,https://anchorr-mcp.mgthompo.workers.dev/oauth/authorize,https://anchorr-mcp.mgthompo.workers.dev/oauth/token,https://anchorr-mcp.mgthompo.workers.dev/oauth/register,True,,https://anchorr-mcp.mgthompo.workers.dev,https://anchorr-mcp.mgthompo.workers.dev/.well-known/oauth-protected-resource,"Bearer realm=""anchorr-mcp"", resource_metadata=""https://anchorr-mcp.mgthompo.workers.dev/.well-known/oauth-protected-resource""",mcp_registry,
api-docs.vendizap.com,https://api-docs.vendizap.com/mcp,A_verified_mcp,oauth,True,401,,,,,https://api-docs.vendizap.com/oauth/authorize,https://api-docs.vendizap.com/oauth/token,https://api-docs.vendizap.com/oauth/register,True,vendizap,https://api-docs.vendizap.com,https://api-docs.vendizap.com/.well-known/oauth-protected-resource,,mcp_registry,
api.adadvisor.ai,https://api.adadvisor.ai/mcp,A_verified_mcp,oauth,True,401,,,,,https://tmvjgbjbuxnirnwjgfhc.supabase.co/auth/v1/oauth/authorize,https://tmvjgbjbuxnirnwjgfhc.supabase.co/auth/v1/oauth/token,https://tmvjgbjbuxnirnwjgfhc.supabase.co/auth/v1/oauth/clients/register,True,"openid,email,profile",https://tmvjgbjbuxnirnwjgfhc.supabase.co/auth/v1,https://api.adadvisor.ai/.well-known/oauth-protected-resource/mcp,"Bearer resource_metadata=""https://api.adadvisor.ai/.well-known/oauth-protected-resource/mcp""",mcp_registry,
api.analytics.churnzero.net,https://api.analytics.churnzero.net/mcp,A_verified_mcp,oauth,True,401,,,,,https://app.churnzero.net/oauth2/authorize,https://app.churnzero.net/oauth2/token,https://app.churnzero.net/oauth2/register,True,"mcp,offline_access",https://app.churnzero.net,https://app.churnzero.net/.well-known/oauth-protected-resource,"Bearer resource_metadata=""https://app.churnzero.net/.well-known/oauth-protected-resource""",umbrella_majestic_apex,
api.ato-mcp.com.au,https://api.ato-mcp.com.au/mcp,A_verified_mcp,oauth,True,401,,,,,https://pznbngklxhkyigmlvruk.supabase.co/auth/v1/oauth/authorize,https://pznbngklxhkyigmlvruk.supabase.co/auth/v1/oauth/token,https://pznbngklxhkyigmlvruk.supabase.co/auth/v1/oauth/clients/register,True,"openid,email",https://pznbngklxhkyigmlvruk.supabase.co/auth/v1,https://api.ato-mcp.com.au/.well-known/oauth-protected-resource/mcp,,mcp_registry,
api.attrove.com,https://api.attrove.com/mcp,A_verified_mcp,oauth,True,401,,,,,https://zbrqriqpalplqtiqhkfs.supabase.co/auth/v1/oauth/authorize,https://zbrqriqpalplqtiqhkfs.supabase.co/auth/v1/oauth/token,https://zbrqriqpalplqtiqhkfs.supabase.co/auth/v1/oauth/clients/register,True,"openid,email,profile",https://zbrqriqpalplqtiqhkfs.supabase.co/auth/v1,https://api.attrove.com/.well-known/oauth-protected-resource/mcp,"Bearer realm=""mcp"", error=""invalid_token"", error_description=""Missing or invalid Authorization header. Expected: Bearer <token>"", scope=""openid email profile"", resource_metadata=""https://api.attrove.c",mcp_registry,
api.bigparser.com,https://api.bigparser.com/mcp,A_verified_mcp,oauth,True,401,,,,,https://dash.readme.com/oidc/auth,https://dash.readme.com/oidc/token,https://dash.readme.com/oidc/reg,True,"openid,offline_access,mcp:read,mcp:write,email,profile",https://dash.readme.com/oidc,https://api.bigparser.com/.well-known/oauth-protected-resource/mcp,,umbrella_majestic_apex,
api.bynder.com,https://api.bynder.com/mcp,A_verified_mcp,oauth,True,200,Bynder API,1.0,2025-06-18,tools,https://dash.readme.com/oidc/auth,https://dash.readme.com/oidc/token,https://dash.readme.com/oidc/reg,True,"openid,offline_access,mcp:read,mcp:write,email,profile",https://dash.readme.com/oidc,https://api.bynder.com/.well-known/oauth-protected-resource/mcp,,umbrella_majestic_apex,
api.cinevva.com,https://api.cinevva.com/create/mcp,A_verified_mcp,oauth,True,401,,,,,https://api.cinevva.com/mcp/oauth/authorize,https://api.cinevva.com/mcp/oauth/token,https://api.cinevva.com/mcp/oauth/register,True,game-creator,https://api.cinevva.com,https://api.cinevva.com/.well-known/oauth-protected-resource,"Bearer resource_metadata=""https://api.cinevva.com/.well-known/oauth-protected-resource""",mcp_registry,
api.cobbles.ai,https://api.cobbles.ai/mcp,A_verified_mcp,oauth,True,401,,,,,https://haskpwnasvtofrdudqri.supabase.co/auth/v1/oauth/authorize,https://haskpwnasvtofrdudqri.supabase.co/auth/v1/oauth/token,https://haskpwnasvtofrdudqri.supabase.co/auth/v1/oauth/clients/register,True,"openid,email,profile",https://haskpwnasvtofrdudqri.supabase.co/auth/v1,https://api.cobbles.ai/.well-known/oauth-protected-resource/mcp,,mcp_registry,
api.comuna.work,https://api.comuna.work/mcp,A_verified_mcp,oauth,True,401,,,,,https://nujbxusvzbswqqbbsqqb.supabase.co/auth/v1/oauth/authorize,https://nujbxusvzbswqqbbsqqb.supabase.co/auth/v1/oauth/token,https://nujbxusvzbswqqbbsqqb.supabase.co/auth/v1/oauth/clients/register,True,"openid,email,profile",https://nujbxusvzbswqqbbsqqb.supabase.co/auth/v1,https://api.comuna.work/.well-known/oauth-protected-resource,"Bearer resource_metadata=""https://api.comuna.work/.well-known/oauth-protected-resource""",mcp_registry,
api.croma.run,https://api.croma.run/mcp,A_verified_mcp,oauth,True,401,,,,,https://clerk.usecroma.com/oauth/authorize,https://clerk.usecroma.com/oauth/token,https://api.croma.run/oauth/register,True,"openid,profile,email,offline_access",https://api.croma.run,https://api.croma.run/.well-known/oauth-protected-resource/mcp,,mcp_registry,
api.davinci.movableink.com,https://api.davinci.movableink.com/mcp,A_verified_mcp,oauth,True,401,,,,,https://auth.movableink.com/authorize,https://auth.movableink.com/oauth/token,https://auth.movableink.com/oidc/register,True,"openid,profile,email",https://auth.movableink.com/,https://api.davinci.movableink.com/.well-known/oauth-protected-resource/mcp,"Bearer error=""invalid_token"", error_description=""Authentication required"", resource_metadata=""https://api.davinci.movableink.com/.well-known/oauth-protected-resource/mcp""",umbrella_majestic_apex,
api.emyspot.com,https://api.emyspot.com/mcp,A_verified_mcp,oauth,True,401,,,,,https://manager.emyspot.com/oauth/authorize,https://api.emyspot.com/oauth/token,,False,"read:sites,create:sites,read:pages,create:pages,update:pages,read:blog,create:blog,update:blog,read:eco,create:eco,update:eco,read:contactforms",https://api.emyspot.com,https://api.emyspot.com/.well-known/oauth-protected-resource/mcp,"Bearer realm=""mcp"", resource_metadata=""https://api.emyspot.com/.well-known/oauth-protected-resource/mcp""",umbrella_majestic_apex,
api.eu-west-1.aws.dash0.com,https://api.eu-west-1.aws.dash0.com/mcp,A_verified_mcp,oauth,True,401,,,,,https://api.eu-west-1.aws.dash0.com/oauth/authorize,https://api.eu-west-1.aws.dash0.com/oauth/token,https://api.eu-west-1.aws.dash0.com/oauth/register,True,*,https://api.eu-west-1.aws.dash0.com,https://api.eu-west-1.aws.dash0.com/.well-known/oauth-protected-resource,"Bearer resource_metadata=""https://api.eu-west-1.aws.dash0.com/.well-known/oauth-protected-resource""",umbrella_majestic_apex,
api.flatlandfi.com,https://api.flatlandfi.com/sse,A_verified_mcp,oauth,True,401,,,,,,,,False,,,https://flatlandfi.com/.well-known/oauth-protected-resource,"Bearer realm=""Flatland"", resource_metadata=""https://flatlandfi.com/.well-known/oauth-protected-resource""",mcp_registry,
api.flyweel.co,https://api.flyweel.co/functions/v1/mcp-server/mcp,A_verified_mcp,oauth,True,401,,,,,https://tumguzeaiurighxbmbck.supabase.co/auth/v1/oauth/authorize,https://tumguzeaiurighxbmbck.supabase.co/auth/v1/oauth/token,https://tumguzeaiurighxbmbck.supabase.co/auth/v1/oauth/clients/register,True,"openid,profile,email",https://tumguzeaiurighxbmbck.supabase.co/auth/v1,https://api.flyweel.co/.well-known/oauth-protected-resource/functions/v1/mcp-server/mcp,,mcp_registry,
api.haasbot.com,https://api.haasbot.com/mcp,A_verified_mcp,oauth,True,401,,,,,https://api.haasbot.com/oauth/authorize,https://api.haasbot.com/oauth/token,https://api.haasbot.com/oauth/register,True,mcp,https://api.haasbot.com,https://api.haasbot.com/.well-known/oauth-protected-resource/mcp,"Bearer resource_metadata=""https://api.haasbot.com/.well-known/oauth-protected-resource/mcp"", scope=""mcp""",mcp_registry,
api.headlessoracle.com,https://api.headlessoracle.com/mcp,A_verified_mcp,oauth,True,200,headless-oracle,5.0.0,2024-11-05,"prompts,resources,tools",,,,False,oracle:read,,https://api.headlessoracle.com/.well-known/oauth-protected-resource,,mcp_registry,
api.historis.app,https://api.historis.app/mcp,A_verified_mcp,oauth,True,401,Historis MCP Server,,,,https://vetgeoovdhtptbzevupy.supabase.co/auth/v1/oauth/authorize,https://vetgeoovdhtptbzevupy.supabase.co/auth/v1/oauth/token,https://vetgeoovdhtptbzevupy.supabase.co/auth/v1/oauth/clients/register,True,"openid,profile,email",https://vetgeoovdhtptbzevupy.supabase.co/auth/v1,https://api.historis.app/.well-known/oauth-protected-resource,"Bearer resource_metadata=""https://api.historis.app/.well-known/oauth-protected-resource""",mcp_registry,
api.hollywoodreporter.com,https://api.hollywoodreporter.com/mcp,A_verified_mcp,oauth,True,200,browser-use-web-automation,1.0.0,2024-11-05,tools,https://api.hollywoodreporter.com/oauth/authorize,https://api.hollywoodreporter.com/oauth/token,https://api.hollywoodreporter.com/oauth/register,True,mcp,https://api.hollywoodreporter.com,https://api.hollywoodreporter.com/.well-known/oauth-protected-resource,,umbrella_majestic_apex,
api.hpsilab.com,https://api.hpsilab.com/mcp,A_verified_mcp,oauth,True,200,hpsilab-quant-finance,1.2.0,2025-06-18,"experimental,prompts,resources,tools",https://hpsilab.com/oauth/authorize,https://hpsilab.com/oauth/token,https://hpsilab.com/oauth/register,True,,https://hpsilab.com,https://api.hpsilab.com/.well-known/oauth-protected-resource/mcp,,mcp_registry,
api.keenable.ai,https://api.keenable.ai/mcp?keenable_title=mcp-registry,A_verified_mcp,oauth,True,200,keenable-mcp-server,0.2.1,2025-06-18,"prompts,resources,tools",https://caqmfcgrdovyjdhfnwzw.supabase.co/auth/v1/oauth/authorize,https://caqmfcgrdovyjdhfnwzw.supabase.co/auth/v1/oauth/token,https://caqmfcgrdovyjdhfnwzw.supabase.co/auth/v1/oauth/clients/register,True,"openid,email,profile",https://caqmfcgrdovyjdhfnwzw.supabase.co/auth/v1,https://api.keenable.ai/.well-known/oauth-protected-resource/mcp,,mcp_registry,
api.mail.qq.com,https://api.mail.qq.com/mcp,A_verified_mcp,oauth,True,401,,,,,https://wx.mail.qq.com/oauth/authorize,https://wx.mail.qq.com/oauth/token,https://wx.mail.qq.com/oauth/register,True,"alias:read,mail:read,mail:send,mail:delete",https://wx.mail.qq.com,https://api.mail.qq.com/.well-known/oauth-protected-resource,"Bearer realm=""QQMail Service"", resource_metadata=""https://api.mail.qq.com/.well-known/oauth-protected-resource""",umbrella_majestic_apex,
api.mailfoogae.appspot.com,https://api.mailfoogae.appspot.com/mcp,A_verified_mcp,oauth,True,401,Streak MCP Server,,,,,,,False,,,https://api.mailfoogae.appspot.com/.well-known/oauth-protected-resource/mcp,"Bearer, resource_metadata_url=""https://api.streak.com/.well-known/oauth-protected-resource/mcp""",umbrella_majestic_apex,
api.mobbin.com,https://api.mobbin.com/mcp,A_verified_mcp,oauth,True,401,,,,,https://ujasntkfphywizsdaapi.supabase.co/auth/v1/oauth/authorize,https://ujasntkfphywizsdaapi.supabase.co/auth/v1/oauth/token,https://ujasntkfphywizsdaapi.supabase.co/auth/v1/oauth/clients/register,True,openid,https://ujasntkfphywizsdaapi.supabase.co/auth/v1,https://api.mobbin.com/.well-known/oauth-protected-resource/mcp,,mcp_registry,
api.newsmind.app,https://api.newsmind.app/functions/v1/mcp,A_verified_mcp,oauth,True,401,,,,,https://newsmind.app/auth/sign-in,https://newsmind.app/oauth/token,https://newsmind.app/oauth/register,True,mcp,https://newsmind.app,https://newsmind.app/.well-known/oauth-protected-resource,"Bearer realm=""newsmind"", resource_metadata=""https://newsmind.app/.well-known/oauth-protected-resource""",mcp_registry,
api.officevibe.com,https://api.officevibe.com/mcp,A_verified_mcp,oauth,True,401,,,,,https://dash.readme.com/oidc/auth,https://dash.readme.com/oidc/token,https://dash.readme.com/oidc/reg,True,"openid,offline_access,mcp:read,mcp:write,email,profile",https://dash.readme.com/oidc,https://api.officevibe.com/.well-known/oauth-protected-resource/mcp,,umbrella_majestic_apex,
api.paperee.co.kr,https://api.paperee.co.kr/functions/v1/mcp,A_verified_mcp,oauth,True,401,,,,,https://znlrkmtkerabsyrthpap.supabase.co/auth/v1/oauth/authorize,https://znlrkmtkerabsyrthpap.supabase.co/auth/v1/oauth/token,https://znlrkmtkerabsyrthpap.supabase.co/auth/v1/oauth/clients/register,True,"openid,profile,email,phone",https://znlrkmtkerabsyrthpap.supabase.co/auth/v1,https://api.paperee.co.kr/functions/v1/mcp/.well-known/oauth-protected-resource,"Bearer resource_metadata=""https://api.paperee.co.kr/functions/v1/mcp/.well-known/oauth-protected-resource""",mcp_registry,
api.podpast.ai,https://api.podpast.ai/mcp,A_verified_mcp,oauth,True,401,,,,,https://pzgqmudykgjkbeqihdem.supabase.co/auth/v1/oauth/authorize,https://pzgqmudykgjkbeqihdem.supabase.co/auth/v1/oauth/token,https://pzgqmudykgjkbeqihdem.supabase.co/auth/v1/oauth/clients/register,True,"openid,profile,email,phone",https://pzgqmudykgjkbeqihdem.supabase.co/auth/v1,https://api.podpast.ai/.well-known/oauth-protected-resource/mcp,"Bearer resource_metadata=""https://api.podpast.ai/.well-known/oauth-protected-resource/mcp""",mcp_registry,
api.qoory.ai,https://api.qoory.ai/mcp,A_verified_mcp,oauth,True,401,Qoory Remote MCP,,,,https://www.qoory.ai/oauth/authorize,https://www.qoory.ai/oauth/token,https://www.qoory.ai/oauth/register,True,"data:read,search:read,usage:read,offline_access",https://www.qoory.ai,https://api.qoory.ai/.well-known/oauth-protected-resource/mcp,"Bearer realm=""OAuth"", resource_metadata=""https://api.qoory.ai/.well-known/oauth-protected-resource/mcp"", error=""invalid_token"", error_description=""Missing or invalid access token""",mcp_registry,
